Speed(knots) vs power (kW),SWT 2.3,SWT 2.3,SWT 3.6,V34,V80,V90,V112,V164,MM82,MM92,5M,6M,N60,N80,N90,N100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,114,0,0,24,0,0,0,0,0,0
7,19,52,37,0,0,38,179,33,33,59,72,57,14,0,10,17
8,50,111,95,6,8,87,265,131,73,105,162,141,34,23,46,64
9,96,166,171,23,51,141,371,311,119,157,262,251,56,75,115,149
10,153,230,267,47,117,207,482,519,178,227,378,382,80,139,199,249
11,223,312,384,74,196,286,603,733,255,319,522,540,107,203,288,354
12,305,411,524,102,286,382,775,1002,345,430,701,739,146,278,387,474
13,403,528,689,131,388,496,1008,1353,445,557,918,979,202,371,503,620
14,517,663,881,164,509,628,1261,1760,557,707,1170,1237,267,476,633,789
15,648,819,1100,200,648,781,1516,2222,687,878,1450,1516,335,594,779,983
16,795,997,1350,235,789,957,1797,2773,837,1065,1754,1860,411,732,950,1206
17,958,1201,1627,265,930,1153,2108,3408,1007,1267,2096,2276,494,891,1140,1451
18,1132,1432,1927,295,1085,1366,2433,4074,1189,1491,2507,2724,579,1061,1335,1700
19,1314,1678,2241,324,1254,1589,2722,4722,1367,1712,2967,3183,666,1239,1533,1930
20,1497,1914,2554,347,1425,1814,2900,5306,1522,1880,3407,3657,753,1422,1742,2118
21,1674,2108,2847,363,1578,2035,2969,5811,1653,1977,3822,4141,839,1606,1945,2260
22,1836,2227,3094,375,1691,2250,2991,6251,1776,2023,4255,4628,921,1784,2103,2366
23,1976,2276,3285,384,1759,2452,3000,6606,1884,2038,4650,5091,995,1952,2206,2441
24,2086,2294,3417,391,1789,2634,3000,6844,1955,2044,4884,5493,1054,2107,2267,2482
25,2166,2300,3499,396,1796,2784,3000,6967,1993,2050,4969,5806,1108,2247,2296,2500
26,2220,2300,3547,399,1799,2888,3000,6995,2018,2050,4993,6010,1172,2365,2300,2500
27,2255,2300,3573,400,1802,2949,3000,6995,2037,2050,5000,6116,1236,2450,2300,2500
28,2275,2300,3587,400,1802,2980,3000,6995,2047,2050,5000,6150,1276,2491,2300,2500
29,2287,2300,3593,400,1802,2993,3000,6995,2050,2050,5000,6150,1298,2500,2300,2500
30,2293,2300,3600,400,1802,3000,3000,6995,2050,2050,5000,6150,1319,2500,2300,2500
31,2297,2300,3600,400,1802,3000,3000,6995,2050,2050,5000,6150,1342,2500,2300,2500
32,2300,2300,3600,400,1802,3000,3000,6995,2050,2050,5000,6150,1361,2500,2300,2500
33,2300,2300,3600,400,1802,3000,3000,6995,2050,2050,5000,6150,1364,2500,2300,2500
34,2300,2300,3600,400,1802,3000,3000,6995,2050,2050,5000,6150,1345,2500,2300,2500
35,2300,2300,3600,400,1802,3000,3000,6995,2050,2050,5000,6150,1322,2500,2300,2500
36,2300,2300,3600,400,1802,3000,3000,6995,2050,2050,5000,6150,1317,2500,2300,2500
37,2300,2300,3600,400,1802,3000,3000,6995,2050,2050,5000,6150,1319,2500,2300,2500
38,2300,2300,3600,400,1802,3000,3000,6995,2050,2050,5000,6150,1317,2500,2300,2500
39,2300,2300,3600,0,1802,3000,3000,6995,2050,2050,5000,6150,1314,2500,2300,2500
40,2300,2300,3600,0,1802,3000,3000,6995,2050,2050,5000,6150,1312,2500,2300,2500
41,2300,2300,3600,0,1802,3000,3000,6995,2050,2050,5000,6150,1312,2500,2300,2500
42,2300,2300,3600,0,1802,3000,3000,6995,2050,2050,5000,6150,1310,2500,2300,2500
43,2300,2300,3600,0,1802,3000,3000,6995,2050,2050,5000,6150,1306,2500,2300,2500
44,2300,2300,3600,0,1802,3000,3000,6995,2050,2050,5000,6150,1302,2500,2300,2500
45,2300,2300,3600,0,1802,3000,3000,6995,2050,2050,5000,6150,1298,2500,2300,2500
46,2300,2300,3600,0,1802,3000,3000,6995,2050,2050,5000,6150,1295,2500,2300,2500
47,2300,2300,3600,0,1802,3000,3000,6995,2050,0,5000,6150,1293,2500,2300,2500
48,2300,2300,3600,0,1802,3000,3000,6995,2050,0,5000,6150,1292,2500,2300,2500
49,0,0,0,0,0,0,0,0,0,0,5000,6150,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,5000,6150,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,5000,6150,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,5000,6150,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,5000,6150,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,5000,6150,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,5000,6150,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,5000,6150,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,5000,6150,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,5000,6150,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0